transaction_year;transaction_month;transaction_day;line;station_name;station_number;town;longitude;latitude;passage_cnt;passanger_cnt
2025;5;26;TF2-TELEFERIK EYUP PIYERLOTI;Pierloti;PLT-EYU;EyüpSultan;289.335.555.555.556;410.533.333.333.333;1386;604
2025;9;1;TF2-TELEFERIK EYUP PIYERLOTI;Eyüp;EYU-PLT;EyüpSultan;289.343.888.888.889;410.498.333.333.333;2639;1439
2025;10;25;TF2-TELEFERIK EYUP PIYERLOTI;Pierloti;PLT-EYU;EyüpSultan;289.335.555.555.556;410.533.333.333.333;2476;1024
2025;12;14;TF2-TELEFERIK EYUP PIYERLOTI;Pierloti;PLT-EYU;EyüpSultan;289.335.555.555.556;410.533.333.333.333;1885;1099
2025;5;7;TF2-TELEFERIK EYUP PIYERLOTI;Pierloti;PLT-EYU;EyüpSultan;289.335.555.555.556;410.533.333.333.333;2056;1141
2025;10;2;TF2-TELEFERIK EYUP PIYERLOTI;Eyüp;EYU-PLT;EyüpSultan;289.343.888.888.889;410.498.333.333.333;2775;1252
2025;1;24;TF2-TELEFERIK EYUP PIYERLOTI;Pierloti;PLT-EYU;EyüpSultan;289.335.555.555.556;410.533.333.333.333;2240;1285
2025;3;4;TF2-TELEFERIK EYUP PIYERLOTI;Eyüp;EYU-PLT;EyüpSultan;289.343.888.888.889;410.498.333.333.333;1330;893
2025;7;30;TF2-TELEFERIK EYUP PIYERLOTI;Pierloti;PLT-EYU;EyüpSultan;289.335.555.555.556;410.533.333.333.333;2247;1056
2025;4;21;TF2-TELEFERIK EYUP PIYERLOTI;Pierloti;PLT-EYU;EyüpSultan;289.335.555.555.556;410.533.333.333.333;2291;1187
2025;12;28;TF2-TELEFERIK EYUP PIYERLOTI;Pierloti;PLT-EYU;EyüpSultan;289.335.555.555.556;410.533.333.333.333;1504;672
2025;6;7;TF2-TELEFERIK EYUP PIYERLOTI;Eyüp;EYU-PLT;EyüpSultan;289.343.888.888.889;410.498.333.333.333;3131;1582
2025;8;6;TF2-TELEFERIK EYUP PIYERLOTI;Eyüp;EYU-PLT;EyüpSultan;289.343.888.888.889;410.498.333.333.333;1344;482
2025;4;5;TF2-TELEFERIK EYUP PIYERLOTI;Eyüp;EYU-PLT;EyüpSultan;289.343.888.888.889;410.498.333.333.333;3108;1596
2025;3;11;TF2-TELEFERIK EYUP PIYERLOTI;Pierloti;PLT-EYU;EyüpSultan;289.335.555.555.556;410.533.333.333.333;1427;868
2025;3;30;TF2-TELEFERIK EYUP PIYERLOTI;Eyüp;EYU-PLT;EyüpSultan;289.343.888.888.889;410.498.333.333.333;3070;1804
2025;3;29;TF2-TELEFERIK EYUP PIYERLOTI;Eyüp;EYU-PLT;EyüpSultan;289.343.888.888.889;410.498.333.333.333;2891;1571
