transaction_year,transaction_month,transaction_day,line,station_name,station_number,town,longitude,latitude,passage_cnt,passanger_cnt,date
2025,5,26,TF2-TELEFERIK EYUP PIYERLOTI,Pierloti,,EyüpSultan,,,1386,604,2025-05-26
2025,9,1,TF2-TELEFERIK EYUP PIYERLOTI,Eyüp,,EyüpSultan,,,2639,1439,2025-09-01
2025,10,25,TF2-TELEFERIK EYUP PIYERLOTI,Pierloti,,EyüpSultan,,,2476,1024,2025-10-25
2025,12,14,TF2-TELEFERIK EYUP PIYERLOTI,Pierloti,,EyüpSultan,,,1885,1099,2025-12-14
2025,5,7,TF2-TELEFERIK EYUP PIYERLOTI,Pierloti,,EyüpSultan,,,2056,1141,2025-05-07
2025,10,2,TF2-TELEFERIK EYUP PIYERLOTI,Eyüp,,EyüpSultan,,,2775,1252,2025-10-02
2025,1,24,TF2-TELEFERIK EYUP PIYERLOTI,Pierloti,,EyüpSultan,,,2240,1285,2025-01-24
2025,3,4,TF2-TELEFERIK EYUP PIYERLOTI,Eyüp,,EyüpSultan,,,1330,893,2025-03-04
2025,7,30,TF2-TELEFERIK EYUP PIYERLOTI,Pierloti,,EyüpSultan,,,2247,1056,2025-07-30
2025,4,21,TF2-TELEFERIK EYUP PIYERLOTI,Pierloti,,EyüpSultan,,,2291,1187,2025-04-21
2025,12,28,TF2-TELEFERIK EYUP PIYERLOTI,Pierloti,,EyüpSultan,,,1504,672,2025-12-28
2025,6,7,TF2-TELEFERIK EYUP PIYERLOTI,Eyüp,,EyüpSultan,,,3131,1582,2025-06-07
2025,8,6,TF2-TELEFERIK EYUP PIYERLOTI,Eyüp,,EyüpSultan,,,1344,482,2025-08-06
2025,4,5,TF2-TELEFERIK EYUP PIYERLOTI,Eyüp,,EyüpSultan,,,3108,1596,2025-04-05
2025,3,11,TF2-TELEFERIK EYUP PIYERLOTI,Pierloti,,EyüpSultan,,,1427,868,2025-03-11
2025,3,30,TF2-TELEFERIK EYUP PIYERLOTI,Eyüp,,EyüpSultan,,,3070,1804,2025-03-30
2025,3,29,TF2-TELEFERIK EYUP PIYERLOTI,Eyüp,,EyüpSultan,,,2891,1571,2025-03-29
2025,5,25,TF2-TELEFERIK EYUP PIYERLOTI,Eyüp,,EyüpSultan,,,2598,1297,2025-05-25
2025,6,27,TF2-TELEFERIK EYUP PIYERLOTI,Pierloti,,EyüpSultan,,,2313,1108,2025-06-27
2025,3,2,TF2-TELEFERIK EYUP PIYERLOTI,Eyüp,,EyüpSultan,,,2096,1197,2025-03-02
2025,3,27,TF2-TELEFERIK EYUP PIYERLOTI,Eyüp,,EyüpSultan,,,2074,1219,2025-03-27
2025,8,15,TF2-TELEFERIK EYUP PIYERLOTI,Eyüp,,EyüpSultan,,,702,153,2025-08-15
